t,cmd_speed,cmd_steer,drive_speed,drive_steer,motor_erpm,odom_omega,odom_vx,odom_x,odom_y,odom_yaw,safety_speed,safety_steer,servo_pos,teleop_speed,teleop_steer,vesc_current,vesc_duty,vesc_erpm,vesc_voltage
-16.488719,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000575,0.000636,0.448403,-0.567390,-1.423075,0.000000,0.000000,0.560000,0.000000,0.000000,-0.030000,0.000000,0.000000,12.700000
-16.468719,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000575,0.000636,0.448403,-0.567390,-1.423075,0.000000,0.000000,0.560000,0.000000,0.000000,-0.020000,0.000000,0.000000,12.700000
-16.448719,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000304,0.000932,0.448176,-0.567448,-1.423179,0.000000,0.000000,0.560000,0.000000,0.000000,-0.030000,0.000000,0.000000,12.700000
-16.428719,0.000000,0.000000,0.000000,0.000000,0.000000,-0.003384,-0.000306,0.449907,-0.566977,-1.423383,0.000000,0.000000,0.560000,0.000000,0.000000,-0.030000,0.000000,0.000000,12.700000
-16.408719,0.000000,0.000000,0.000000,0.000000,0.000000,-0.003384,-0.000306,0.449907,-0.566977,-1.423383,0.000000,0.000000,0.560000,0.000000,0.000000,-0.020000,0.000000,0.000000,12.700000
-16.388719,0.000000,0.000000,0.000000,0.000000,0.000000,-0.001915,-0.001276,0.450161,-0.566932,-1.423443,0.000000,0.000000,0.560000,0.000000,0.000000,-0.020000,0.000000,0.000000,12.700000
-16.368719,0.000000,0.000000,0.000000,0.000000,0.000000,-0.001915,-0.001276,0.450161,-0.566932,-1.423443,0.000000,0.000000,0.560000,0.000000,0.000000,-0.030000,0.000000,0.000000,12.700000
-16.348719,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000707,-0.001578,0.450412,-0.566863,-1.423573,0.000000,0.000000,0.560000,0.000000,0.000000,-0.030000,0.000000,0.000000,12.700000
-16.328719,0.000000,0.000000,0.000000,0.000000,0.000000,-0.001641,0.003462,0.449752,-0.567288,-1.423746,0.000000,0.000000,0.560000,0.000000,0.000000,-0.030000,0.000000,0.000000,12.700000
-16.308719,0.000000,0.000000,0.000000,0.000000,0.000000,-0.001641,0.003462,0.449752,-0.567288,-1.423746,0.000000,0.000000,0.560000,0.000000,0.000000,-0.030000,0.000000,0.000000,12.700000
-16.288719,0.000000,0.000000,0.000000,0.000000,0.000000,0.000013,0.003199,0.449735,-0.567367,-1.423754,0.000000,0.000000,0.560000,0.000000,0.000000,-0.030000,0.000000,0.000000,12.700000
-16.268719,0.000000,0.000000,0.000000,0.000000,0.000000,0.000013,0.003199,0.449735,-0.567367,-1.423754,0.000000,0.000000,0.560000,0.000000,0.000000,-0.030000,0.000000,0.000000,12.700000
-16.248719,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000060,0.001086,0.449726,-0.567383,-1.423965,0.000000,0.000000,0.560000,0.000000,0.000000,-0.020000,0.000000,0.000000,12.700000
-16.228719,0.000000,0.000000,0.000000,0.000000,0.000000,-0.010161,0.000174,0.449460,-0.567300,-1.424589,0.000000,0.000000,0.560000,0.000000,0.000000,-0.020000,0.000000,0.000000,12.700000
-16.208719,0.000000,0.000000,0.000000,0.000000,0.000000,-0.010161,0.000174,0.449460,-0.567300,-1.424589,0.000000,0.000000,0.560000,0.000000,0.000000,-0.030000,0.000000,0.000000,12.700000
-16.188719,0.000000,0.000000,0.000000,0.000000,0.000000,-0.004863,0.001648,0.449328,-0.567343,-1.424589,0.000000,0.000000,0.560000,0.000000,0.000000,-0.020000,0.000000,0.000000,12.700000
-16.168719,0.000000,0.000000,0.000000,0.000000,0.000000,-0.004863,0.001648,0.449328,-0.567343,-1.424589,0.000000,0.000000,0.560000,0.000000,0.000000,-0.030000,0.000000,0.000000,12.700000
-16.148719,0.000000,0.000000,0.000000,0.000000,0.000000,-0.002235,0.000095,0.449250,-0.567341,-1.424595,0.000000,0.000000,0.560000,0.000000,0.000000,-0.040000,0.000000,0.000000,12.700000
-16.128719,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000248,-0.016952,0.449765,-0.565725,-1.424674,0.000000,0.000000,0.560000,0.000000,0.000000,-0.030000,0.000000,0.000000,12.700000
-16.108719,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000248,-0.016952,0.449765,-0.565725,-1.424674,0.000000,0.000000,0.560000,0.000000,0.000000,-0.020000,0.000000,0.000000,12.700000
-16.088719,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000238,-0.011640,0.449859,-0.565378,-1.424722,0.000000,0.000000,0.560000,0.000000,0.000000,-0.020000,0.000000,0.000000,12.700000
-16.068719,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000238,-0.011640,0.449859,-0.565378,-1.424722,0.000000,0.000000,0.560000,0.000000,0.000000,-0.020000,0.000000,0.000000,12.700000
-16.048719,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000278,-0.008003,0.450022,-0.565189,-1.424747,0.000000,0.000000,0.560000,0.000000,0.000000,-0.030000,0.000000,0.000000,12.700000
-16.028719,0.000000,0.000000,0.000000,0.000000,0.000000,0.003352,0.004252,0.448955,-0.566277,-1.424778,0.000000,0.000000,0.560000,0.000000,0.000000,-0.040000,0.000000,0.000000,12.700000
-16.008719,0.000000,0.000000,0.000000,0.000000,0.000000,0.003352,0.004252,0.448955,-0.566277,-1.424778,0.000000,0.000000,0.560000,0.000000,0.000000,-0.020000,0.000000,0.000000,12.700000
-15.988719,0.000000,0.000000,0.000000,0.000000,0.000000,0.002624,0.003300,0.448678,-0.566411,-1.424889,0.000000,0.000000,0.560000,0.000000,0.000000,-0.020000,0.000000,0.000000,12.700000
-15.968719,0.000000,0.000000,0.000000,0.000000,0.000000,0.002624,0.003300,0.448678,-0.566411,-1.424889,0.000000,0.000000,0.560000,0.000000,0.000000,-0.020000,0.000000,0.000000,12.700000
-15.948719,0.000000,0.000000,0.000000,0.000000,0.000000,0.001576,0.003947,0.448473,-0.566538,-1.424952,0.000000,0.000000,0.560000,0.000000,0.000000,-0.030000,0.000000,0.000000,12.700000
-15.928719,0.000000,0.000000,0.000000,0.000000,0.000000,-0.005371,-0.018474,0.448889,-0.564517,-1.425428,0.000000,0.000000,0.560000,0.000000,0.000000,-0.030000,0.000000,0.000000,12.700000
